, options [nop,nop,TS val 4231069619 ecr 3863754939], length 0
16:29:11.045091 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1121904, win 168, options [nop,nop,TS val 4231069620 ecr 3863754939], length 0
16:29:11.045335 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1123440, win 156, options [nop,nop,TS val 4231069620 ecr 3863754939], length 0
16:29:11.045682 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1124976, win 144, options [nop,nop,TS val 4231069620 ecr 3863754940], length 0
16:29:11.046033 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1126512, win 132, options [nop,nop,TS val 4231069620 ecr 3863754940], length 0
16:29:11.046465 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1128560, win 116, options [nop,nop,TS val 4231069621 ecr 3863754940], length 0
16:29:11.046550 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1130096, win 104, options [nop,nop,TS val 4231069621 ecr 3863754940], length 0
16:29:11.046773 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1131632, win 92, options [nop,nop,TS val 4231069621 ecr 3863754941], length 0
16:29:11.046996 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1133168, win 80, options [nop,nop,TS val 4231069621 ecr 3863754941], length 0
16:29:11.047079 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1134704, win 68, options [nop,nop,TS val 4231069622 ecr 3863754941], length 0
16:29:11.047199 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1136240, win 56, options [nop,nop,TS val 4231069622 ecr 3863754941], length 0
16:29:11.047486 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1137776, win 44, options [nop,nop,TS val 4231069622 ecr 3863754942], length 0
16:29:11.047823 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1139312, win 32, options [nop,nop,TS val 4231069622 ecr 3863754942], length 0
16:29:11.054216 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1143168, win 2, options [nop,nop,TS val 4231069629 ecr 3863754942], length 0
16:29:11.129940 IP 92.63.197.21.58687 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.59917: Flags [S], seq 2136930870, win 1024, length 0
16:29:11.130529 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.42421 > 67.207.67.3.domain: 13494+ [1au] PTR? 21.197.63.92.in-addr.arpa. (54)
16:29:11.130580 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.45350 > 67.207.67.3.domain: 38058+ [1au] PTR? 21.197.63.92.in-addr.arpa. (54)
16:29:11.130624 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.49788 > 67.207.67.3.domain: 240+ [1au] PTR? 21.197.63.92.in-addr.arpa. (54)
16:29:11.133924 IP 67.207.67.3.domain > lamp-ubuntu-s-4vcpu-8gb-tor1-01.42421: 13494 NXDomain 0/1/1 (114)
16:29:11.134110 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.42421 > 67.207.67.3.domain: 13494+ PTR? 21.197.63.92.in-addr.arpa. (43)
16:29:11.134265 IP 67.207.67.3.domain > lamp-ubuntu-s-4vcpu-8gb-tor1-01.45350: 38058 NXDomain 0/1/1 (114)
16:29:11.134307 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.45350 > 67.207.67.3.domain: 38058+ PTR? 21.197.63.92.in-addr.arpa. (43)
16:29:11.134396 IP 67.207.67.3.domain > lamp-ubuntu-s-4vcpu-8gb-tor1-01.49788: 240 NXDomain 0/1/1 (114)
16:29:11.134429 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.49788 > 67.207.67.3.domain: 240+ PTR? 21.197.63.92.in-addr.arpa. (43)
16:29:11.137019 IP 67.207.67.3.domain > lamp-ubuntu-s-4vcpu-8gb-tor1-01.45350: 38058 NXDomain 0/1/0 (103)
16:29:11.137487 IP 67.207.67.3.domain > lamp-ubuntu-s-4vcpu-8gb-tor1-01.49788: 240 NXDomain 0/1/0 (103)
16:29:11.137796 IP 67.207.67.3.domain > lamp-ubuntu-s-4vcpu-8gb-tor1-01.42421: 13494 NXDomain 0/1/0 (103)
16:29:11.273544 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1143168:1143424, ack 1, win 501, options [nop,nop,TS val 3863755180 ecr 4231069629], length 256
16:29:11.364197 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1158208:1158464, ack 1, win 501, options [nop,nop,TS val 3863755271 ecr 4231069937], length 256
16:29:11.364230 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1158464:1158720, ack 1, win 501, options [nop,nop,TS val 3863755271 ecr 4231069937], length 256
16:29:11.364262 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1158720:1158976, ack 1, win 501, options [nop,nop,TS val 3863755271 ecr 4231069937], length 256
16:29:11.364294 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1158976:1159232, ack 1, win 501, options [nop,nop,TS val 3863755271 ecr 4231069937], length 256
16:29:11.364326 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1159232:1159488, ack 1, win 501, options [nop,nop,TS val 3863755271 ecr 4231069937], length 256
16:29:11.364358 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1159488:1159744, ack 1, win 501, options [nop,nop,TS val 3863755271 ecr 4231069937], length 256
16:29:11.364391 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1159744:1160000, ack 1, win 501, options [nop,nop,TS val 3863755271 ecr 4231069937], length 256
16:29:11.364423 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1160000:1160256, ack 1, win 501, options [nop,nop,TS val 3863755271 ecr 4231069937], length 256
16:29:11.364455 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1160256:1160512, ack 1, win 501, options [nop,nop,TS val 3863755271 ecr 4231069937], length 256
16:29:11.364487 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1160512:1160768, ack 1, win 501, options [nop,nop,TS val 3863755271 ecr 4231069937], length 256
16:29:11.364520 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1160768:1161024, ack 1, win 501, options [nop,nop,TS val 3863755271 ecr 4231069937], length 256
16:29:11.364552 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1161024:1161280, ack 1, win 501, options [nop,nop,TS val 3863755271 ecr 4231069937], length 256
16:29:11.364588 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1161280:1161536, ack 1, win 501, options [nop,nop,TS val 3863755271 ecr 4231069937], length 256
16:29:11.364632 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1161536:1161792, ack 1, win 501, options [nop,nop,TS val 3863755271 ecr 4231069937], length 256
16:29:11.364671 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1161792:1162048, ack 1, win 501, options [nop,nop,TS val 3863755271 ecr 4231069937], length 256
16:29:11.364703 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1162048:1162304, ack 1, win 501, options [nop,nop,TS val 3863755271 ecr 4231069937], length 256
16:29:11.364736 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1162304:1162560, ack 1, win 501, options [nop,nop,TS val 3863755271 ecr 4231069937], length 256
16:29:11.364769 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1162560:1162816, ack 1, win 501, options [nop,nop,TS val 3863755271 ecr 4231069937], length 256
16:29:11.364801 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1162816:1163072, ack 1, win 501, options [nop,nop,TS val 3863755271 ecr 4231069937], length 256
16:29:11.364833 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1163072:1163328, ack 1, win 501, options [nop,nop,TS val 3863755271 ecr 4231069937], length 256
16:29:11.364866 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1163328:1163584, ack 1, win 501, options [nop,nop,TS val 3863755271 ecr 4231069937], length 256
16:29:11.364898 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1163584:1163840, ack 1, win 501, options [nop,nop,TS val 3863755271 ecr 4231069937], length 256
16:29:11.364930 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1163840:1164096, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.364963 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1164096:1164352, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.364995 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1164352:1164608, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365027 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1164608:1164864, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365060 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1164864:1165120, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365091 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1165120:1165376, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365128 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1165376:1165632, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365161 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1165632:1165888, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365193 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1165888:1166144, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365225 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1166144:1166400, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365257 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1166400:1166656, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365293 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1166656:1166912, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365329 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1166912:1167168, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365365 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1167168:1167424, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365398 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1167424:1167680, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365431 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1167680:1167936, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365462 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1167936:1168192, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365495 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1168192:1168448, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365528 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1168448:1168704, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365560 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1168704:1168960, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365593 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1168960:1169216, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365625 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1169216:1169472, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365658 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1169472:1169728, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365691 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1169728:1169984, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365723 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1169984:1170240, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365756 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1170240:1170496, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365789 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1170496:1170752, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365823 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1170752:1171008, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365856 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1171008:1171264, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365888 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1171264:1171520, ack 1, win 501, options [nop,nop,TS val 3863755272 ecr 4231069937], length 256
16:29:11.365920 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1171520:1171776, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.365952 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1171776:1172032, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.365992 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1172032:1172288, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.366035 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1172288:1172544, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.366073 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1172544:1172800, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.366106 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1172800:1173056, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
